"CDSubclasse","CDSecao"
"0111301","A"
"0111302","A"
"0111303","A"
"0111399","A"
"0112101","A"
"0112102","A"
"0112199","A"
"0113000","A"
"0114800","A"
"0115600","A"
"0116401","A"
"0116402","A"
"0116403","A"
"0116499","A"
"0119901","A"
"0119902","A"
"0119903","A"
"0119904","A"
"0119905","A"
"0119906","A"
"0119907","A"
"0119908","A"
"0119909","A"
"0119999","A"
"0121101","A"
"0121102","A"
"0122900","A"
"0131800","A"
"0132600","A"
"0133401","A"
"0133402","A"
"0133403","A"
"0133404","A"
"0133405","A"
"0133406","A"
"0133407","A"
"0133408","A"
"0133409","A"
"0133410","A"
"0133411","A"
"0133499","A"
"0134200","A"
"0135100","A"
"0139301","A"
"0139302","A"
"0139303","A"
"0139304","A"
"0139305","A"
"0139306","A"
"0139399","A"
"0141501","A"
"0141502","A"
"0142300","A"
"0151201","A"
"0151202","A"
"0151203","A"
"0152101","A"
"0152102","A"
"0152103","A"
"0153901","A"
"0153902","A"
"0154700","A"
"0155501","A"
"0155502","A"
"0155503","A"
"0155504","A"
"0155505","A"
"0159801","A"
"0159802","A"
"0159803","A"
"0159804","A"
"0159899","A"
"0161001","A"
"0161002","A"
"0161003","A"
"0161099","A"
"0162801","A"
"0162802","A"
"0162803","A"
"0162899","A"
"0163600","A"
"0170900","A"
"0210101","A"
"0210102","A"
"0210103","A"
"0210104","A"
"0210105","A"
"0210106","A"
"0210107","A"
"0210108","A"
"0210109","A"
"0210199","A"
"0220901","A"
"0220902","A"
"0220903","A"
"0220904","A"
"0220905","A"
"0220906","A"
"0220999","A"
"0230600","A"
"0311601","A"
"0311602","A"
"0311603","A"
"0311604","A"
"0312401","A"
"0312402","A"
"0312403","A"
"0312404","A"
"0321301","A"
"0321302","A"
"0321303","A"
"0321304","A"
"0321305","A"
"0321399","A"
"0322101","A"
"0322102","A"
"0322103","A"
"0322104","A"
"0322105","A"
"0322106","A"
"0322107","A"
"0322199","A"
"0500301","B"
"0500302","B"
"0600001","B"
"0600002","B"
"0600003","B"
"0710301","B"
"0710302","B"
"0721901","B"
"0721902","B"
"0722701","B"
"0722702","B"
"0723501","B"
"0723502","B"
"0724301","B"
"0724302","B"
"0725100","B"
"0729401","B"
"0729402","B"
"0729403","B"
"0729404","B"
"0729405","B"
"0810001","B"
"0810002","B"
"0810003","B"
"0810004","B"
"0810005","B"
"0810006","B"
"0810007","B"
"0810008","B"
"0810009","B"
