"codsitgeradora","ds_codsitgeradora"
"200004300","Impacto de pessoa contra objeto parado"
"200004600","Impacto de pessoa contra objeto em movimento"
"200008300","Impacto sofrido por pessoa de objeto que cai"
"200008600","Impacto sofrido por pessoa de objeto projetado"
"200008900","Impacto sofrido por pessoa, NIC"
"200012200","Queda de pessoa com diferença de nível de andaime, passagem, plataforma, etc."
"200012300","Queda de pessoa com diferença de nível de escada móvel ou fixada cujos degraus"
"200012400","Queda de pessoa com diferença de nível de material empilhado"
"200012500","Queda de pessoa com diferença de nível de veículo"
"200012600","Queda de pessoa com diferença de nível em escada permanente"
"200012700","Queda de pessoa com diferença de nível em poço, escavação, abertura no piso, etc."
"200012900","Queda de pessoa com diferença de nível, NIC"
"200016300","Queda de pessoa em mesmo nível em passagem ou superfície de sustentação"
"200016600","Queda de pessoa em mesmo nível sobre ou contra alguma coisa"
"200016900","Queda de pessoa em mesmo nível, NIC"
"200020100","Aprisionamento em, sobre ou entre objetos em movimento convergente"
"200020300","Aprisionamento em, sobre ou entre objeto parado e outro em movimento"
"200020500","Aprisionamento em, sobre ou entre dois ou mais objetos em movimento"
"200020700","Aprisionamento em, sobre ou entre desabamento ou desmoronamento"
"200020900","Aprisionamento em, sob ou entre, NIC"
"200024300","Atrito ou abrasão por encostar, pisar, ajoelhar ou sentar em objeto"
"200024400","Atrito ou abrasão por manusear objeto"
"200024500","Atrito ou abrasão por objeto em vibração"
"200024600","Atrito ou abrasão por corpo estranho no olho"
"200024700","Atrito ou abrasão por compressão repetitiva"
"200024900","Atrito ou abrasão, NIC"
"200028300","Reação do corpo a movimento involuntário"
"200028600","Reação do corpo a movimento voluntário"
"200032200","Esforço excessivo ao erguer objeto"
"200032400","Esforço excessivo ao empurrar ou puxar objeto"
"200032600","Esforço excessivo ao manejar, sacudir ou arremessar objeto"
"200032900","Esforço excessivo, NIC"
"200036000","Elétrica, exposição a energia"
"200040300","Temperatura muito alta, contato com objeto ou substância a"
"200040600","Temperatura muito baixa, contato com objeto ou substância a"
"200044300","Temperatura ambiente elevada, exposição a"
"200044600","Temperatura ambiente baixa, exposição a"
"200048200","Inalação de substância cáustica, tóxica ou nociva"
"200048400","Ingestão de substância cáustica"
"200048600","Absorção de substância cáustica"
"200048900","Inalação, ingestão ou absorção, NIC"
"200052000","Imersão"
"200056000","Radiação não ionizante, exposição a"
"200060000","Radiação ionizante, exposição a"
"200064000","Ruído, exposição a"
"200068000","Vibração, exposição a"
"200072000","Pressão ambiente, exposição a"
"200072300","Exposição à pressão ambiente elevada"
"200072600","Exposição à pressão ambiente baixa"
"200076200","Poluição da água, ação da (exposição à poluição da água)"
"200076400","Poluição do ar, ação da (exposição à poluição do ar)"
"200076600","Poluição do solo, ação da (exposição à poluição do solo)"
"200076900","Poluição, NIC, exposição a (exposição à poluição, NIC)"
"200080200","Ataque de ser vivo por mordedura, picada, chifrada, coice, etc."
"200080400","Ataque de ser vivo com peçonha"
"200080600","Ataque de ser vivo com transmissão de doença"
"200080900","Ataque de ser vivo, NIC"
"200080901","Contato com pessoas doentes ou material infecto-contagiante - agentes biológicos."
"209000000","Tipo, NIC"
"209500000","Tipo inexistente"
"302010200","Rua e estrada - superfície utilizada para sustentar pessoas"
"302010250","Calçada ou caminho para pedestre - superfície utilizada para sustentar pessoas"
"302010300","Piso de edifício - superfície utilizada para sustentar pessoas"
"302010350","Escada permanente cujos degraus permitem apoio integral do pé, degrau - superfície utilizada para sustentar pessoas"
"302010400","Rampa - superfície utilizada para sustentar pessoas"
"302010450","Passarela ou plataforma permanentes - superfície utilizada para sustentar pessoas"
"302010500","Piso de mina - superfície utilizada para sustentar pessoas"
"302010550","Chão - superfície utilizada para sustentar pessoas"
"302010600","Piso de andaime e plataforma desmontável - superfície utilizada para sustentar pessoas"
"302010650","Piso de veiculo - superfície utilizada para sustentar pessoas"
"302010700","Telhado"
"302010900","Superfície de sustentação, NIC - superfície utilizada para sustentar pessoas"
"302030900","Escada móvel ou fixada, NIC"
"302050100","Edifício - edifício ou estrutura"
"302050200","Depósito fixo (tanque, silo, paiol, etc.) - edifício ou estrutura"
"302050300","Cais, doca - edifício ou estrutura"
"302050400","Dique, barragem – edifício ou estrutura"
"302050500","Ponte, viaduto - edifício ou estrutura"
"302050600","Arquibancada, estádio - edifício ou estrutura"
"302050700","Andaime, plataforma - edifício ou estrutura"
"302050800","Torre, poste - edifício ou estrutura"
"302050900","Edifício ou estrutura (exceto piso, superfície de sustentação ou área de circulação), NIC"
"302070100","Escavação (para edifício, estrada, etc.)"
"302070300","Canal, fosso"
"302070500","Poço, entrada, galeria, etc., de mina"
"302070700","Túnel"
"302070900","Escavação, fosso, túnel, NIC"
"302090000","Superfície e estrutura, NIC"
"303010040","Martelo, malho, marreta - ferramenta manual sem força motriz"
"303010080","Machadinha, enxó - ferramenta manual sem força motriz"
"303010120","Faca, facão - ferramenta manual sem força motriz"
"303010160","Tesoura, tesourão - ferramenta manual sem força motriz"
"303010200","Formão, cinzel - ferramenta manual sem força motriz"
"303010240","Serra, serrote - ferramenta manual sem força motriz"
"303010280","Alicate, torques, tenaz - ferramenta manual sem força motriz"
"303010320","Plaina - ferramenta manual sem força motriz"
"303010360","Lima, grosa - ferramenta manual sem força motriz"
"303010400","Punção, ponteiro, vazador, talhadeira - ferramenta manual sem força motriz"
"303010440","Pua, trado, verruma, máquina de furar manual - ferramenta manual sem força motriz"
"303010480","Chave de parafuso - ferramenta manual sem força motriz"
"303010520","chave de porca ou de abertura regulável, chave de boca - ferramenta manual sem força motriz"
"303010560","Alavanca, pé-de-cabra - ferramenta manual sem força motriz"
"303010600","Corda, cabo, corrente - ferramenta manual sem força motriz"
"303010640","Machado - ferramenta manual sem força motriz"
"303010680","Enxada, enxadão, sacho - ferramenta manual sem força motriz"
"303010720","Pá, cavadeira - ferramenta manual sem força motriz"
"303010760","Picareta - ferramenta manual sem força motriz"
"303010800","Garfo, ancinho, forcado - ferramenta manual sem força motriz"
"303010900","Ferramenta manual sem força motriz, NIC"
"303015050","Martelete, socador - ferramenta portátil com força motriz ou aquecimento"
"303015100","Talhadeira - ferramenta portátil com força motriz ou aquecimento"
"303015150","Cortadeira, guilhotina - ferramenta portátil com força motriz ou aquecimento"
"303015200","Serra - ferramenta portátil com força motriz ou aquecimento"
"303015250","Punção, ponteiro, vazador - ferramenta portátil com força motriz ou aquecimento"
"303015300","Perfuratriz - ferramenta portátil com força motriz ou aquecimento"
"303015350","Rebitadeira - ferramenta portátil com força motriz ou aquecimento"
"303015400","Máquina de aparafusar - ferramenta portátil com força motriz ou aquecimento"
"303015450","Esmeril - ferramenta portátil com força motriz ou aquecimento"
"303015500","Politriz, enceradeira - ferramenta portátil com força motriz ou aquecimento"
"303015550","Ferro de passar - ferramenta portátil com força motriz ou aquecimento"
"303015600","Ferramenta de soldagem - ferramenta portátil com força motriz ou aquecimento"
"303015650","Maçarico - ferramenta portátil com força motriz ou aquecimento"
"303015700","Ferramenta acionada por explosivo - ferramenta portátil com força motriz ou aquecimento"
"303015750","Jato de areia - ferramenta portátil com força motriz ou aquecimento"
"303015900","Ferramenta portátil com forca motriz ou aquecimento, NIC"
"303020040","Serra - máquina"
"303020080","Tesoura, guilhotina, máquina de cortar - máquina"
"303020120","Laminadora, calandra - máquina"
"303020160","Furadeira, broqueadeira, torno, freza - máquina"
"303020200","Prensa - máquina"
"303020240","Plaina, tupia - máquina"
"303020280","Máquina de fundir, de forjar, de soldar"
"303020320","Britador, moinho - máquina"
"303020360","Misturador, batedeira, agitador - máquina"
"303020400","Peneira mecânica, máquina separadora - máquina"
"303020440","Politriz, lixadora, esmeril - máquina"
"303020480","Máquina de terraplenagem e construção de estrada"
