"CDUORG","SGUF"
"011000000","NULL"
"014000000","DF"
"014901000","DF"
"015000000","GO"
"015900003","GO"
"015901000","GO"
"015901001","GO"
"016000000","MT"
"016900001","MT"
"016900003","MT"
"016900004","MT"
"016901000","MT"
"017000000","MS"
"017900001","MS"
"017900002","MS"
"017900003","MS"
"017900004","MS"
"017901000","MS"
"018000000","SP"
"018901000","SP"
"018901001","SP"
"018902000","SP"
"018903000","SP"
"018904000","SP"
"018905000","SP"
"018905001","SP"
"018905002","SP"
"018905004","SP"
"018906000","SP"
"018907000","SP"
"018908000","SP"
"018908002","SP"
"018909000","SP"
"018909001","SP"
"018909002","SP"
"018909003","SP"
"018909004","SP"
"018909008","SP"
"018909009","SP"
"018909011","SP"
"018910000","SP"
"018911000","SP"
"018911005","SP"
"018912000","SP"
"018912002","SP"
"018913000","SP"
"018913001","SP"
"018913002","SP"
"018913003","SP"
"018913004","SP"
"018913005","SP"
"018913006","SP"
"018914000","SP"
"018914005","SP"
"018915000","SP"
"018916000","SP"
"018916002","SP"
"018917000","SP"
"018917001","SP"
"018917006","SP"
"018918000","SP"
"018919000","SP"
"018919002","SP"
"018919003","SP"
"018919005","SP"
"018919006","SP"
"018920000","SP"
"018921000","SP"
"018921002","SP"
"018921005","SP"
"018922000","SP"
"018922003","SP"
"018922004","SP"
"018922005","SP"
"018922006","SP"
"018922009","SP"
"018922010","SP"
"018922011","SP"
"018923000","SP"
"018923001","SP"
"018923008","SP"
"018924000","SP"
"018924003","SP"
"018925000","SP"
"018925002","SP"
"019000000","RJ"
"019901000","RJ"
"019902000","RJ"
"019903000","RJ"
"019903001","RJ"
"019903003","RJ"
"019904000","RJ"
"019904002","RJ"
"019904006","RJ"
"019905000","RJ"
"019905003","RJ"
"019906000","RJ"
"019906004","RJ"
"019907000","RJ"
"019907002","RJ"
"019907007","RJ"
"019908000","RJ"
"019908006","RJ"
"019909000","RJ"
"019909002","RJ"
"019910000","RJ"
"019910001","RJ"
"019910003","RJ"
"019911000","RJ"
"020000000","ES"
"020900002","ES"
"020900004","ES"
"020900005","ES"
"020900009","ES"
"020900010","ES"
"020900011","ES"
"020901000","ES"
"020901001","ES"
"020901003","ES"
"020901006","ES"
"020902000","ES"
"021000000","MG"
"021901000","MG"
"021901001","MG"
"021901003","MG"
"021901005","MG"
"021901007","MG"
"021901009","MG"
"021902000","MG"
"021902004","MG"
"021902005","MG"
"021903000","MG"
"021904000","MG"
"021904001","MG"
"021904004","MG"
"021905000","MG"
"021905003","MG"
"021905006","MG"
"021905008","MG"
"021906000","MG"
"021907000","MG"
"021907001","MG"
"021908000","MG"
"021908003","MG"
"021909000","MG"
"021909002","MG"
"021910000","MG"
"021910005","MG"
"021911000","MG"
"021912000","MG"
"021912001","MG"
"021913000","MG"
"021913002","MG"
"021914000","MG"
"021914003","MG"
"021914012","MG"
"021915000","MG"
"021916000","MG"
"021916001","MG"
"021917000","MG"
"021918000","MG"
"021919000","MG"
"021919001","MG"
"021920000","MG"
"022000000","PR"
"022900001","PR"
"022900005","PR"
"022901000","PR"
"022901006","PR"
"022901007","PR"
"022901009","PR"
"022902000","PR"
"022903000","PR"
"022903001","PR"
"022903008","PR"
"022903010","PR"
"022904000","PR"
"022904001","PR"
"022904002","PR"
"022904006","PR"
"022904009","PR"
"022905000","PR"
"022905009","PR"
"023000000","SC"
"023900001","SC"
"023901000","SC"
"023901001","SC"
"023901002","SC"
"023901003","SC"
"023901004","SC"
"023901005","SC"
"023902000","SC"
"023902002","SC"
"023903000","SC"
"023903003","SC"
"023903004","SC"
"023904000","SC"
"023904001","SC"
"023904002","SC"
"023904003","SC"
"023905000","SC"
"024000000","RS"
"024900002","RS"
"024900003","RS"
"024900005","RS"
"024901000","RS"
"024901002","RS"
"024901005","RS"
"024902000","RS"
"024902006","RS"
"024902008","RS"
"024903000","RS"
"024904000","RS"
"024905000","RS"
"024905002","RS"
"024906000","RS"
"024907000","RS"
"024908000","RS"
"024908003","RS"
"024909000","RS"
"024909005","RS"
"024910000","RS"
"024911000","RS"
"024911001","RS"
"024912000","RS"
"024913000","RS"
"024914000","RS"
"024916000","RS"
"024916001","RS"
"025000000","AM"
"025900004","AM"
"025900005","AM"
"025900007","AM"
"025900010","AM"
"025901000","AM"
"026000000","PA"
"026900002","PA"
"026900004","PA"
"026901000","PA"
