"CDMunicipio","NRUORG"
"0000000",""
"1100000",""
"1100015","028000000"
"1100023","028000000"
"1100031","028000000"
"1100049","028000000"
"1100056","028000000"
"1100064","028000000"
"1100072","028000000"
"1100080","028000000"
"1100098","028000000"
"1100106","028000000"
"1100114","028000000"
"1100122","028000000"
"1100130","028000000"
"1100148","028000000"
"1100155","028000000"
"1100189","028000000"
"1100205","028000000"
"1100254","028000000"
"1100262","028000000"
"1100288","028000000"
"1100296","028000000"
"1100304","028000000"
"1100320","028000000"
"1100338","028000000"
"1100346","028000000"
"1100379","028000000"
"1100403","028000000"
"1100452","028000000"
"1100502","028000000"
"1100601","028000000"
"1100700","028000000"
"1100809","028000000"
"1100908","028000000"
"1100924","028000000"
"1100940","028000000"
"1101005","028000000"
"1101104","028000000"
"1101203","028000000"
"1101302","028000000"
"1101401","028000000"
"1101435","028000000"
"1101450","028000000"
"1101468","028000000"
"1101476","028000000"
"1101484","028000000"
"1101492","028000000"
"1101500","028000000"
"1101559","028000000"
"1101609","028000000"
"1101708","028000000"
"1101757","028000000"
"1101807","028000000"
"1200000",""
"1200013","027000000"
"1200054","027000000"
"1200104","027000000"
"1200138","027000000"
"1200179","027000000"
"1200203","027000000"
"1200252","027000000"
"1200302","027000000"
"1200328","027000000"
"1200336","027000000"
"1200344","027000000"
"1200351","027000000"
"1200385","027000000"
"1200393","027000000"
"1200401","027000000"
"1200427","027000000"
"1200435","027000000"
"1200450","027000000"
"1200500","027000000"
"1200609","027000000"
"1200708","027000000"
"1200807","027000000"
"1300000",""
"1300029","025000000"
"1300060","025000000"
"1300086","025000000"
"1300102","025000000"
"1300144","025000000"
"1300201","025000000"
"1300300","025000000"
"1300409","025000000"
"1300508","025000000"
"1300607","025000000"
"1300631","025000000"
"1300680","025000000"
"1300706","025000000"
"1300805","025000000"
"1300839","025000000"
"1300904","025000000"
"1301001","025000000"
"1301100","025000000"
"1301159","025000000"
"1301209","025000000"
"1301308","025000000"
"1301407","025000000"
"1301506","025000000"
"1301605","025000000"
"1301654","025000000"
"1301704","025000000"
"1301803","025000000"
"1301852","025000000"
"1301902","025000000"
"1301951","025000000"
"1302009","025000000"
"1302108","025000000"
"1302207","025000000"
"1302306","025000000"
"1302405","025000000"
"1302504","025000000"
"1302553","025000000"
"1302603","025000000"
"1302702","025000000"
"1302801","025000000"
"1302900","025000000"
"1303007","025000000"
"1303106","025000000"
"1303205","025000000"
"1303304","025000000"
"1303403","025000000"
"1303502","025000000"
"1303536","025000000"
"1303569","025000000"
"1303601","025000000"
"1303700","025000000"
"1303809","025000000"
"1303908","025000000"
"1303957","025000000"
"1304005","025000000"
"1304062","025901000"
"1304104","025000000"
"1304203","025000000"
"1304237","025000000"
"1304260","025000000"
"1304302","025000000"
"1304401","025000000"
"1400000",""
"1400027","040000000"
"1400050","040000000"
"1400100","040000000"
"1400159","040000000"
"1400175","040000000"
"1400209","040000000"
"1400233","040000000"
"1400282","040000000"
"1400308","040000000"
"1400407","040000000"
"1400456","040000000"
"1400472","040000000"
"1400506","040000000"
"1400605","040000000"
"1400704","040000000"
"1500000",""
"1500107","026000000"
"1500131","026902000"
"1500206","026000000"
"1500305","026000000"
"1500347","026902000"
"1500404","026903000"
"1500503","026903000"
"1500602","026904000"
"1500701","026000000"
"1500800","026000000"
"1500859","026904000"
"1500909","026901000"
"1500958","026901000"
"1501006","026903000"
"1501105","026000000"
"1501204","026000000"
"1501253","026902000"
"1501303","026000000"
"1501402","026000000"
"1501451","026903000"
"1501501","026000000"
"1501576","026902000"
"1501600","026901000"
"1501709","026901000"
"1501725","026904000"
"1501758","026902000"
"1501782","026902000"
"1501808","026000000"
"1501907","026000000"
"1501956","026901000"
"1502004","026000000"
"1502103","026000000"
"1502152","026902000"
"1502202","026901000"
"1502301","026901000"
"1502400","026901000"
"1502509","026000000"
"1502608","026000000"
"1502707","026902000"
"1502756","026000000"
"1502764","026902000"
"1502772","026902000"
"1502806","026000000"
"1502855","026903000"
"1502905","026901000"
"1502939","026901000"
"1502954","026902000"
"1503002","026903000"
"1503044","026902000"
"1503077","026901000"
"1503093","026902000"
"1503101","026000000"
"1503200","026901000"
"1503309","026000000"
"1503408","026901000"
"1503457","026901000"
"1503507","026901000"
"1503606","026903000"
"1503705","026902000"
"1503754","026903000"
"1503804","026902000"
"1503903","026903000"
"1504000","026000000"
"1504059","026901000"
"1504109","026901000"
"1504208","026902000"
"1504307","026901000"
"1504406","026901000"
"1504422","026000000"
"1504455","026904000"
"1504505","026000000"
"1504604","026000000"
"1504703","026000000"
"1504752","026903000"
"1504802","026903000"
"1504901","026000000"
"1504950","026901000"
"1504976","026902000"
"1505007","026901000"
"1505031","026903000"
"1505064","026902000"
"1505106","026903000"
"1505205","026000000"
"1505304","026903000"
"1505403","026901000"
"1505437","026902000"
"1505486","026904000"
"1505494","026902000"
"1505502","026901000"
"1505536","026902000"
"1505551","026902000"
"1505601","026901000"
"1505635","026902000"
"1505650","026904000"
"1505700","026000000"
"1505809","026000000"
"1505908","026904000"
"1506005","026903000"
"1506104","026901000"
"1506112","026901000"
"1506138","026902000"
"1506161","026902000"
"1506187","026902000"
"1506195","026903000"
"1506203","026901000"
"1506302","026000000"
"1506351","026000000"
"1506401","026000000"
"1506500","026000000"
"1506559","026901000"
"1506583","026902000"
"1506609","026901000"
"1506708","026902000"
"1506807","026903000"
"1506906","026901000"
"1507003","026000000"
"1507102","026000000"
"1507151","026902000"
"1507201","026901000"
"1507300","026902000"
"1507409","026901000"
"1507458","026902000"
"1507466","026901000"
"1507474","026901000"
"1507508","026902000"
"1507607","026901000"
"1507706","026000000"
"1507755","026902000"
"1507805","026904000"
"1507904","026000000"
"1507953","026000000"
"1507961","026901000"
"1507979","026903000"
"1508001","026000000"
"1508035","026901000"
"1508050","026903000"
"1508084","026902000"
"1508100","026902000"
"1508126","026901000"
"1508159","026904000"
"1508209","026000000"
"1508308","026901000"
"1508357","026904000"
"1508407","026902000"
"1600000",""
"1600055","039000000"
"1600105","039000000"
"1600154","039000000"
"1600204","039000000"
"1600212","039000000"
"1600238","039000000"
"1600253","039000000"
"1600279","039000000"
"1600303","039000000"
"1600402","039000000"
"1600501","039000000"
"1600535","039000000"
"1600550","039000000"
"1600600","039000000"
"1600709","039000000"
"1600808","039000000"
"1700000",""
"1700251","038000000"
"1700301","038000000"
"1700350","038000000"
"1700400","038000000"
"1700707","038000000"
"1701002","038000000"
