"CDSecao","DSSecao","CDDivisao","DSDivisao","CDGrupo","DSGrupo","CDClasse","DSClasse","CDSubclasse","DSSubclasse","Vigencia21","Vigencia22","Vigencia23"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","011","Produção de lavouras temporárias","01113","Cultivo de cereais","0111301","Cultivo de arroz","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","011","Produção de lavouras temporárias","01113","Cultivo de cereais","0111302","Cultivo de milho","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","011","Produção de lavouras temporárias","01113","Cultivo de cereais","0111303","Cultivo de trigo","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","011","Produção de lavouras temporárias","01113","Cultivo de cereais","0111399","Cultivo de outros cereais não especificados anteriormente","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","011","Produção de lavouras temporárias","01121","Cultivo de algodão herbáceo e de outras fibras de lavoura temporária","0112101","Cultivo de algodão herbáceo","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","011","Produção de lavouras temporárias","01121","Cultivo de algodão herbáceo e de outras fibras de lavoura temporária","0112102","Cultivo de juta","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","011","Produção de lavouras temporárias","01121","Cultivo de algodão herbáceo e de outras fibras de lavoura temporária","0112199","Cultivo de outras fibras de lavoura temporária não especificadas anteriormente","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","011","Produção de lavouras temporárias","01130","Cultivo de cana-de-açúcar","0113000","Cultivo de cana de açúcar","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","011","Produção de lavouras temporárias","01148","Cultivo de fumo","0114800","Cultivo de fumo","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","011","Produção de lavouras temporárias","01156","Cultivo de soja","0115600","Cultivo de soja","1","1","1"
