"CÓDIGO","GRUPO","DESCRIÇÃO"
"101","Empregado e Trabalhador Temporário","Empregado - Geral, inclusive o empregado público da administração direta ou indireta contratado pela CLT"
"102","Empregado e Trabalhador Temporário","Empregado - Trabalhador rural por pequeno prazo da Lei 11.718/2008"
"103","Empregado e Trabalhador Temporário","Empregado - Aprendiz"
"104","Empregado e Trabalhador Temporário","Empregado - Doméstico"
"105","Empregado e Trabalhador Temporário","Empregado - Contrato a termo firmado nos termos da Lei 9.601/1998"
"106","Empregado e Trabalhador Temporário","Trabalhador temporário - Contrato nos termos da Lei 6.019/1974"
"107","Empregado e Trabalhador Temporário","Empregado - Contrato de trabalho Verde e Amarelo - sem acordo para antecipação mensal da multa rescisória do FGTS"
"108","Empregado e Trabalhador Temporário","Empregado - Contrato de trabalho Verde e Amarelo - com acordo para antecipação mensal da multa rescisória do FGTS"
"111","Empregado e Trabalhador Temporário","Empregado - Contrato de trabalho intermitente"
"201","Avulso","Trabalhador avulso portuário"
"202","Avulso","Trabalhador avulso não portuário"
"301","Agente Público","Servidor público titular de cargo efetivo, magistrado, ministro de Tribunal de Contas, conselheiro de Tribunal de Contas e membro do Ministério Público"
"302","Agente Público","Servidor público ocupante de cargo exclusivo em comissão"
"303","Agente Público","Exercente de mandato eletivo"
"304","Agente Público","Servidor público exercente de mandato eletivo, inclusive com exercício de cargo em comissão"
"305","Agente Público","Servidor público indicado para conselho ou órgão deliberativo, na condição de representante do governo, órgão ou entidade da administração pública"
"306","Agente Público","Servidor público contratado por tempo determinado, sujeito a regime administrativo especial definido em lei própria"
"307","Agente Público","Militar"
"308","Agente Público","Conscrito"
"309","Agente Público","Agente público - Outros"
"310","Agente Público","Servidor público eventual"
"311","Agente Público","Ministros, juízes, procuradores, promotores ou oficiais de justiça à disposição da Justiça Eleitoral"
"312","Agente Público","Auxiliar local"
"313","Agente Público","Servidor público exercente de atividade de instrutoria, capacitação, treinamento, curso ou concurso, ou convocado para pareceres técnicos ou depoimentos"
"401","Cessão","Dirigente sindical - Informação prestada pelo sindicato"
"410","Cessão","Trabalhador cedido/exercício em outro órgão/juiz auxiliar - Informação prestada pelo cessionário/destino"
"501","Segurado Especial","Dirigente sindical - Segurado especial"
"701","Contribuinte Individual","Contribuinte individual - Autônomo em geral, exceto se enquadrado em uma das demais categorias de contribuinte individual"
"711","Contribuinte Individual","Contribuinte individual - Transportador autônomo de passageiros"
"712","Contribuinte Individual","Contribuinte individual - Transportador autônomo de carga"
"721","Contribuinte Individual","Contribuinte individual - Diretor não empregado, com FGTS"
"722","Contribuinte Individual","Contribuinte individual - Diretor não empregado, sem FGTS"
"723","Contribuinte Individual","Contribuinte individual - Empresário, sócio e membro de conselho de administração ou fiscal"
"731","Contribuinte Individual","Contribuinte individual - Cooperado que presta serviços por intermédio de cooperativa de trabalho"
"734","Contribuinte Individual","Contribuinte individual - Transportador cooperado que presta serviços por intermédio de cooperativa de trabalho"
"738","Contribuinte Individual","Contribuinte individual - Cooperado filiado a cooperativa de produção"
"741","Contribuinte Individual","Contribuinte individual - Microempreendedor individual"
"751","Contribuinte Individual","Contribuinte individual - Magistrado classista temporário da Justiça do Trabalho ou da Justiça Eleitoral que seja aposentado de qualquer regime previdenciário"
"761","Contribuinte Individual","Contribuinte individual - Associado eleito para direção de cooperativa, associação ou entidade de classe de qualquer natureza ou finalidade, bem como o síndico ou administrador eleito para exercer atividade de direção condominial, desde que recebam remuneração"
"771","Contribuinte Individual","Contribuinte individual - Membro de conselho tutelar, nos termos da Lei 8.069/1990"
"781","Contribuinte Individual","Ministro de confissão religiosa ou membro de vida consagrada, de congregação ou de ordem religiosa"
"901","Bolsista","Estagiário"
"902","Bolsista","Médico residente ou residente em área profissional de saúde"
"903","Bolsista","Bolsista"
"904","Bolsista","Participante de curso de formação, como etapa de concurso público, sem vínculo de emprego/estatutário"
