"cd_pais","pais"
"008","Abu Dhabi"
"009","Dirce"
"013","Afeganistão"
"015","Aland, Ilhas"
"017","Albania, República da"
"020","Alboran-Perejil, Ilhas"
"023","Alemanha"
"025","Alemanha, República Democrática"
"031","Burkina Faso"
"037","Andorra"
"040","Angola"
"041","Anguilla"
"042","Antártica"
"043","Antígua e Barbuda"
"047","Antilhas Holandesas"
"053","Arábia Saudita"
"059","Argélia"
"063","Argentina"
"064","Armênia, República da"
"065","Aruba"
"069","Austrália"
"072","Áustria"
"073","Azerbaijão, República do"
"077","Bahamas, Ilhas"
"080","Bahrein, Ilhas"
"081","Bangladesh"
"083","Barbados"
"085","Belarus, República da"
"087","Bélgica"
"088","Belize"
"090","Bermudas"
"093","Mianmar (Birmânia)"
"097","Bolívia, Estado Plurinacional da"
"098","Bósnia-Herzegovina, República da"
"099","Bonaire, Saint Eustatius e Saba"
"100","Int. Z. F. Manaus"
"101","Botsuana"
"102","Bouvet, Ilha"
"105","Brasil"
"106","Fretado p/ Brasil"
"108","Brunei"
"111","Bulgária, República da"
"115","Burundi"
"119","Butão"
"127","Cabo Verde, República de"
"131","Cachemira"
"137","Cayman, Ilhas"
"141","Camboja"
"145","Camarões"
"149","Canadá"
"150","Ilhas do Canal (Jersey e Guernsey)"
"151","Canárias, Ilhas"
"152","Canal, Ilhas"
"153","Cazaquistão, República do"
"154","Catar"
"158","Chile"
"160","China, República Popular"
"161","Formosa (Taiwan)"
"163","Chipre"
"165","Cocos (Keeling), Ilhas"
"169","Colômbia"
"173","Comores, Ilhas"
"177","Congo"
"183","Cook, Ilhas"
"187","Coreia (do Norte), Rep. Pop. Democrática"
"190","Coreia (do Sul), República da"
"193","Costa do Marfim"
"195","Croácia, República da"
"196","Costa Rica"
"198","Kuwait"
"199","Cuba"
"200","Curacao"
"229","Benin"
"232","Dinamarca"
"235","Dominica, Ilha"
"237","Dubai"
"239","Equador"
"240","Egito"
"243","Eritreia"
"244","Emirados Árabes Unidos"
"245","Espanha"
"246","Eslovênia, República da"
"247","Eslovaca, República"
"249","Estados Unidos"
"251","Estônia, República da"
"253","Etiópia"
"255","Falkland (Ilhas Malvinas)"
"259","Feroe, Ilhas"
"263","Fezzan"
"267","Filipinas"
"271","Finlândia"
"275","França"
"281","Gabão"
"285","Gâmbia"
"289","Gana"
"291","Geórgia, República da"
"292","Geórgia do Sul e Sandwich do Sul, Ilhas"
"293","Gibraltar"
"297","Granada"
"301","Grécia"
"305","Groenlândia"
"309","Guadalupe"
"313","Guam"
"317","Guatemala"
"321","Guernsey"
"325","Guiana Francesa"
"329","Guiné"
"331","Guiné-Equatorial"
"334","Guiné-Bissau"
"337","Guiana"
"341","Haiti"
"343","Heard e Ilhas McDonald, Ilha"
"345","Honduras"
"351","Hong Kong"
"355","Hungria, República da"
"357","Iêmen"
"358","Iêmen do Sul"
"359","Man, Ilha de"
"361","Índia"
"365","Indonésia"
"367","Inglaterra"
"369","Iraque"
"372","Irã, República Islâmica do"
"375","Irlanda"
"379","Islândia"
"383","Israel"
"386","Itália"
"388","Sérvia e Montenegro"
"391","Jamaica"
"393","Jersey"
"395","Jammu"
"396","Johnston, Ilhas"
"399","Japão"
"403","Jordânia"
"411","Kiribati"
"420","Laos, Rep. Pop. Democr. do"
"423","Lebuan, Ilhas"
"426","Lesoto"
"427","Letônia, República da"
"431","Líbano"
"434","Libéria"
"438","Líbia"
"440","Liechtenstein"
"442","Lituânia, República da"
"445","Luxemburgo"
"447","Macau"
"449","Macedônia do Norte"
"450","Madagascar"
"452","Ilha da Madeira"
"455","Malásia"
"458","Malavi"
"461","Maldivas"
"464","Mali"
"467","Malta"
"472","Marianas do Norte"
"474","Marrocos"
"476","Marshall, Ilhas"
"477","Martinica"
"485","Maurício"
"488","Mauritânia"
"489","Mayotte"
"490","Midway, Ilhas"
"493","México"
"494","Moldávia, República da"
"495","Mônaco"
"497","Mongólia"
"498","Montenegro"
"499","Micronésia"
"501","Montserrat, Ilhas"
"505","Moçambique"
"507","Namíbia"
"508","Nauru"
"511","Christmas, Ilha (Navidad)"
"517","Nepal"
